,tweet_id,favorites,retweets
117,869227993411051520,19007,3413
118,868880397819494401,60864,13062
119,868639477480148993,0,1876
120,868622495443632128,24795,4794
121,868552278524837888,9381,1876
122,867900495410671616,22583,3802
123,867774946302451713,31700,6661
124,867421006826221569,15012,2268
125,867072653475098625,0,108
126,867051520902168576,30070,7189
127,866720684873056260,18678,4369
128,866686824827068416,17974,3158
129,866450705531457537,114200,32142
130,866334964761202691,48881,12991
131,866094527597207552,0,7648
132,865718153858494464,24031,5135
133,865359393868664832,24737,4563
134,865006731092295680,26232,7056
135,864873206498414592,30185,7950
136,864279568663928832,13664,2754
137,864197398364647424,28051,8070
138,863907417377173506,19307,3794
139,863553081350529029,14311,3847
140,863471782782697472,0,2220
141,863432100342583297,22290,4802
142,863427515083354112,2063,88
143,863079547188785154,8228,1019
144,863062471531167744,7911,2220
145,862831371563274240,17993,4724
146,862722525377298433,16061,3256
147,862457590147678208,19166,4518
148,862096992088072192,69635,21289
149,861383897657036800,33914,9854
150,861288531465048066,16129,3813
151,861005113778896900,15698,3525
152,860981674716409858,0,1977
153,860924035999428608,0,733
154,860563773140209665,7052,1977
155,860524505164394496,22271,4898
156,860276583193509888,17340,3249
157,860184849394610176,15708,5408
158,860177593139703809,0,28570
159,859924526012018688,18492,3807
160,859851578198683649,14567,3269
161,859607811541651456,17591,1438
162,859196978902773760,84776,27920
163,859074603037188101,31931,12656
164,858860390427611136,0,7529
165,858843525470990336,14760,3230
166,858471635011153920,20369,4518
167,858107933456039936,14921,2687
168,857989990357356544,15216,2413
169,857746408056729600,32439,9907
170,857393404942143489,5585,1532
171,857263160327368704,19054,4225
172,857214891891077121,214,17
173,857062103051644929,0,156
174,857029823797047296,17888,3711
175,856543823941562368,15548,2696
176,856526610513747968,11289,1762
177,856330835276025856,0,627
178,856288084350160898,490,15
179,856282028240666624,26395,5885
180,855862651834028034,317,23
181,855860136149123072,4666,917
182,855857698524602368,11313,1976
183,855851453814013952,43658,16977
184,855818117272018944,25413,5104
185,855459453768019968,28405,7732
186,855245323840757760,0,5591
187,855138241867124737,0,41
188,854732716440526848,21715,5711
189,854482394044301312,27924,6442
