tweet_id,favorites,retweets,user_followers,user_favourites,date_time
870656317836468226,11452,2361,8878861,145866,2017-06-02 15:00:16+00:00
870374049280663552,77227,24014,8878861,145866,2017-06-01 20:18:38+00:00
870308999962521604,20388,3753,8878861,145866,2017-06-01 16:00:09+00:00
870063196459192321,33948,7515,8878861,145866,2017-05-31 23:43:25+00:00
869772420881756160,39636,9173,8878861,145866,2017-05-31 04:27:59+00:00
869702957897576449,26252,5698,8878861,145866,2017-05-30 23:51:58+00:00
869596645499047938,14860,2817,8878861,145866,2017-05-30 16:49:31+00:00
869227993411051520,19007,3413,8878861,145866,2017-05-29 16:24:37+00:00
868880397819494401,60864,13062,8878861,145866,2017-05-28 17:23:24+00:00
868639477480148993,0,1876,8878861,145866,2017-05-28 01:26:04+00:00
868622495443632128,24795,4794,8878861,145866,2017-05-28 00:18:35+00:00
868552278524837888,9381,1876,8878861,145866,2017-05-27 19:39:34+00:00
867900495410671616,22583,3802,8878861,145866,2017-05-26 00:29:37+00:00
867774946302451713,31700,6661,8878861,145866,2017-05-25 16:10:44+00:00
867421006826221569,15012,2268,8878861,145866,2017-05-24 16:44:18+00:00
867072653475098625,0,108,8878861,145866,2017-05-23 17:40:04+00:00
867051520902168576,30070,7189,8878861,145866,2017-05-23 16:16:06+00:00
866720684873056260,18678,4369,8878861,145866,2017-05-22 18:21:28+00:00
866686824827068416,17974,3158,8878861,145866,2017-05-22 16:06:55+00:00
866450705531457537,114200,32142,8878861,145866,2017-05-22 00:28:40+00:00
866334964761202691,48881,12991,8878861,145866,2017-05-21 16:48:45+00:00
866094527597207552,0,7648,8878861,145866,2017-05-21 00:53:21+00:00
865718153858494464,24031,5135,8878861,145866,2017-05-19 23:57:46+00:00
865359393868664832,24737,4563,8878861,145866,2017-05-19 00:12:11+00:00
865006731092295680,26232,7056,8878861,145866,2017-05-18 00:50:50+00:00
864873206498414592,30185,7950,8878861,145866,2017-05-17 16:00:15+00:00
864279568663928832,13664,2754,8878861,145866,2017-05-16 00:41:21+00:00
864197398364647424,28051,8070,8878861,145866,2017-05-15 19:14:50+00:00
863907417377173506,19307,3794,8878861,145866,2017-05-15 00:02:33+00:00
863553081350529029,14311,3847,8878861,145866,2017-05-14 00:34:33+00:00
863471782782697472,0,2220,8878861,145866,2017-05-13 19:11:30+00:00
863432100342583297,22290,4802,8878861,145866,2017-05-13 16:33:49+00:00
863427515083354112,2063,88,8878861,145866,2017-05-13 16:15:35+00:00
863079547188785154,8228,1019,8878861,145866,2017-05-12 17:12:53+00:00
863062471531167744,7911,2220,8878861,145866,2017-05-12 16:05:02+00:00
862831371563274240,17993,4724,8878861,145866,2017-05-12 00:46:44+00:00
862722525377298433,16061,3256,8878861,145866,2017-05-11 17:34:13+00:00
862457590147678208,19166,4518,8878861,145866,2017-05-11 00:01:27+00:00
862096992088072192,69635,21289,8878861,145866,2017-05-10 00:08:34+00:00
861383897657036800,33914,9854,8878861,145866,2017-05-08 00:54:59+00:00
861288531465048066,16129,3813,8878861,145866,2017-05-07 18:36:02+00:00
861005113778896900,15698,3525,8878861,145866,2017-05-06 23:49:50+00:00
860981674716409858,0,1977,8878861,145866,2017-05-06 22:16:42+00:00
860924035999428608,0,733,8878861,145866,2017-05-06 18:27:40+00:00
860563773140209665,7052,1977,8878861,145866,2017-05-05 18:36:06+00:00
860524505164394496,22271,4898,8878861,145866,2017-05-05 16:00:04+00:00
860276583193509888,17340,3249,8878861,145866,2017-05-04 23:34:55+00:00
860184849394610176,15708,5408,8878861,145866,2017-05-04 17:30:24+00:00
860177593139703809,0,28570,8878861,145866,2017-05-04 17:01:34+00:00
859924526012018688,18492,3807,8878861,145866,2017-05-04 00:15:58+00:00
859851578198683649,14567,3269,8878861,145866,2017-05-03 19:26:06+00:00
859607811541651456,17591,1438,8878861,145866,2017-05-03 03:17:27+00:00
859196978902773760,84776,27920,8878861,145866,2017-05-02 00:04:57+00:00
859074603037188101,31931,12656,8878861,145866,2017-05-01 15:58:40+00:00
858860390427611136,0,7529,8878861,145866,2017-05-01 01:47:28+00:00
858843525470990336,14760,3230,8878861,145866,2017-05-01 00:40:27+00:00
858471635011153920,20369,4518,8878861,145866,2017-04-30 00:02:42+00:00
858107933456039936,14921,2687,8878861,145866,2017-04-28 23:57:28+00:00
857989990357356544,15216,2413,8878861,145866,2017-04-28 16:08:49+00:00
857746408056729600,32439,9907,8878861,145866,2017-04-28 00:00:54+00:00
857393404942143489,5585,1532,8878861,145866,2017-04-27 00:38:11+00:00
857263160327368704,19054,4225,8878861,145866,2017-04-26 16:00:39+00:00
857214891891077121,214,17,8878861,145866,2017-04-26 12:48:51+00:00
857062103051644929,0,156,8878861,145866,2017-04-26 02:41:43+00:00
857029823797047296,17888,3711,8878861,145866,2017-04-26 00:33:27+00:00
856543823941562368,15548,2696,8878861,145866,2017-04-24 16:22:16+00:00
856526610513747968,11289,1762,8878861,145866,2017-04-24 15:13:52+00:00
856330835276025856,0,627,8878861,145866,2017-04-24 02:15:55+00:00
856288084350160898,490,15,8878861,145866,2017-04-23 23:26:03+00:00
856282028240666624,26395,5885,8878861,145866,2017-04-23 23:01:59+00:00
855862651834028034,317,23,8878861,145866,2017-04-22 19:15:32+00:00
855860136149123072,4666,917,8878861,145866,2017-04-22 19:05:32+00:00
855857698524602368,11313,1976,8878861,145866,2017-04-22 18:55:51+00:00
855851453814013952,43658,16977,8879476,145867,2017-04-22 18:31:02+00:00
855818117272018944,25413,5104,8878861,145866,2017-04-22 16:18:34+00:00
855459453768019968,28405,7732,8878861,145866,2017-04-21 16:33:22+00:00
855245323840757760,0,5591,8878861,145866,2017-04-21 02:22:29+00:00
855138241867124737,0,41,8878862,145866,2017-04-20 19:16:59+00:00
854732716440526848,21715,5711,8878862,145866,2017-04-19 16:25:34+00:00
854482394044301312,27924,6442,8878862,145866,2017-04-18 23:50:52+00:00
854365224396361728,18070,4436,8878862,145866,2017-04-18 16:05:17+00:00
854120357044912130,30610,7038,8878862,145866,2017-04-17 23:52:16+00:00
854010172552949760,15545,2983,8878863,145866,2017-04-17 16:34:26+00:00
853760880890318849,27377,5444,8878863,145866,2017-04-17 00:03:50+00:00
853639147608842240,33205,9455,8878863,145866,2017-04-16 16:00:07+00:00
853299958564483072,14863,3368,8878863,145866,2017-04-15 17:32:18+00:00
852936405516943360,0,1882,8878863,145866,2017-04-14 17:27:40+00:00
852912242202992640,8642,1708,8878863,145866,2017-04-14 15:51:39+00:00
852672615818899456,14334,2050,8878863,145866,2017-04-13 23:59:28+00:00
852553447878664193,15635,3291,8878863,145866,2017-04-13 16:05:56+00:00
852311364735569921,31865,9449,8878863,145866,2017-04-13 00:03:59+00:00
852226086759018497,19255,6515,8878863,145866,2017-04-12 18:25:07+00:00
852189679701164033,11038,1510,8878863,145866,2017-04-12 16:00:27+00:00
851861385021730816,0,19,8878863,145866,2017-04-11 18:15:55+00:00
851591660324737024,15685,3302,8878863,145866,2017-04-11 00:24:08+00:00
851464819735769094,23378,6734,8878863,145866,2017-04-10 16:00:07+00:00
851224888060895234,19956,5481,8878863,145866,2017-04-10 00:06:42+00:00
850753642995093505,29663,8659,8878863,145866,2017-04-08 16:54:09+00:00
850380195714523136,12660,2487,8878863,145866,2017-04-07 16:10:12+00:00
850333567704068097,3337,314,8878863,145866,2017-04-07 13:04:55+00:00
